Country	Deaths
Afghanistan	2618
Albania	2389
Algeria	3244
Andorra	125
Angola	594
Antigua and Barbuda	32
Argentina	63508
Armenia	4087
Australia	3
Australia	54
Australia	0
Australia	7
Australia	4
Australia	13
Australia	820
Australia	9
Austria	10179
Azerbaijan	4490
Bahamas	198
Bahrain	639
Bangladesh	11393
Barbados	44
Belarus	2532
Belgium	24185
Belize	323
Benin	99
Bhutan	1
Bolivia	12920
Bosnia and Herzegovina	8512
Botswana	712
Brazil	401186
Brunei	3
Bulgaria	16368
Burkina Faso	157
Burma	3209
Burundi	6
Cabo Verde	213
Cambodia	91
Cameroon	1107
Canada	2075
Canada	1577
Canada	1
Canada	0
Canada	973
Canada	36
Canada	6
Canada	0
Canada	67
Canada	4
Canada	8024
Canada	0
Canada	10913
Canada	0
Canada	487
Canada	2
Central African Republic	88
Chad	170
Chile	26247
China	6
China	9
China	6
China	1
China	2
China	8
China	2
China	2
China	6
China	7
China	13
China	22
China	209
China	4512
China	4
China	1
China	0
China	1
China	3
China	2
China	0
China	0
China	0
China	3
China	7
China	7
China	0
China	3
China	3
China	0
China	0
China	3
China	2
China	1
Colombia	73230
Comoros	146
Congo (Brazzaville)	144
Congo (Kinshasa)	763
Costa Rica	3217
Cote d'Ivoire	286
Croatia	7040
Cuba	632
Cyprus	308
Czechia	29213
Denmark	1
Denmark	0
Denmark	2483
Diamond Princess	13
Djibouti	143
Dominica	0
Dominican Republic	3471
Ecuador	18552
Egypt	13278
El Salvador	2120
Equatorial Guinea	112
Eritrea	10
Estonia	1158
Eswatini	671
Ethiopia	3658
Fiji	2
Finland	913
France	100
France	141
France	211
France	70
France	170
France	0
France	148
France	1
France	0
France	12
France	7
France	103525
Gabon	138
Gambia	174
Georgia	4095
Germany	82865
Ghana	779
Greece	10315
Grenada	1
Guatemala	7500
Guinea	144
Guinea-Bissau	67
Guyana	295
Haiti	254
Holy See	0
Honduras	5261
Hungary	27358
Iceland	29
India	208330
Indonesia	45334
Iran	71351
Iraq	15433
Ireland	4899
Israel	6362
Italy	120544
Jamaica	770
Japan	10160
Jordan	8801
Kazakhstan	3334
Kenya	2707
Korea, South	1828
Kosovo	2134
Kuwait	1554
Kyrgyzstan	1598
Laos	0
Latvia	2125
Lebanon	7249
Lesotho	316
Liberia	85
Libya	3023
Liechtenstein	57
Lithuania	3916
Luxembourg	794
MS Zaandam	2
Madagascar	637
Malawi	1148
Malaysia	1492
Maldives	73
Mali	481
Malta	413
Marshall Islands	0
Mauritania	455
Mauritius	17
Mexico	216447
Micronesia	0
Moldova	5795
Monaco	32
Mongolia	110
Montenegro	1492
Morocco	9020
Mozambique	814
Namibia	638
Nepal	3246
Netherlands	98
Netherlands	15
Netherlands	108
Netherlands	27
Netherlands	17124
New Zealand	26
Nicaragua	182
Niger	191
Nigeria	2063
North Macedonia	4818
Norway	754
Oman	2010
Pakistan	17811
Panama	6227
Papua New Guinea	107
Paraguay	6302
Peru	60742
Philippines	17145
Poland	67073
Portugal	16974
Qatar	450
Romania	27971
Russia	107902
Rwanda	333
Saint Kitts and Nevis	0
Saint Lucia	74
Saint Vincent and the Grenadines	11
Samoa	0
San Marino	90
Sao Tome and Principe	35
Saudi Arabia	6946
Senegal	1107
Serbia	6337
Seychelles	26
Sierra Leone	79
Singapore	30
Slovakia	11647
Slovenia	4243
Solomon Islands	0
Somalia	713
South Africa	54331
South Sudan	114
Spain	78080
Sri Lanka	661
Sudan	2349
Suriname	201
Sweden	14002
Switzerland	10625
Syria	1583
Taiwan*	12
Tajikistan	90
Tanzania	21
Thailand	188
Timor-Leste	3
Togo	123
Trinidad and Tobago	165
Tunisia	10641
Turkey	39737
US	575194
Uganda	342
Ukraine	45607
United Arab Emirates	1584
United Kingdom	0
United Kingdom	27
United Kingdom	1
United Kingdom	2
United Kingdom	86
United Kingdom	0
United Kingdom	94
United Kingdom	29
United Kingdom	1
United Kingdom	0
United Kingdom	17
United Kingdom	127502
Uruguay	2563
Uzbekistan	647
Vanuatu	1
Venezuela	2117
Vietnam	35
West Bank and Gaza	3231
Yemen	1222
Zambia	1250
Zimbabwe	1567
