country	LifeExp
Afghanistan	63.4
Albania	78.2
Algeria	77.7
Andorra	82.7
Angola	64.2
Antigua and Barbuda	77
Argentina	76.7
Armenia	75.6
Australia	82.4
Austria	81.8
Azerbaijan	70.8
Bahamas	73.7
Bahrain	79.5
Bangladesh	73.1
Barbados	77.1
Belarus	74
Belgium	81.4
Belize	74.2
Benin	64.6
Bhutan	74
Bolivia	72.8
Bosnia and Herzegovina	76.7
Botswana	69.1
Brazil	75.5
Brunei	75.3
Bulgaria	74.9
Burkina Faso	61.7
Burundi	61.5
Cambodia	69.9
Cameroon	63
Canada	82
Cape Verde	75.8
Central African Republic	51.9
Chad	60
Chile	79.7
China	77.1
Colombia	80.1
Comoros	68.6
Congo, Dem. Rep.	62.4
Congo, Rep.	62.6
Costa Rica	79.5
Cote d'Ivoire	62.5
Croatia	78.5
Cuba	78.4
Cyprus	81.7
Czech Republic	79.2
Denmark	80.8
Djibouti	67.3
Dominica	72.8
Dominican Republic	73.1
Ecuador	76.7
Egypt	70.6
El Salvador	74
Equatorial Guinea	65.5
Eritrea	62.7
Estonia	78.1
Eswatini	59.9
Ethiopia	68.4
Fiji	68.1
Finland	81.4
France	82.8
Gabon	68.4
Gambia	65.8
Georgia	72.8
Germany	80.6
Ghana	65.5
Greece	81
Grenada	74.1
Guatemala	72.6
Guinea	60.7
Guinea-Bissau	60
Guyana	69.2
Haiti	65
Honduras	74
Hungary	76.8
Iceland	82.8
India	69
Indonesia	71.5
Iran	77.3
Iraq	76.7
Ireland	81.8
Israel	83
Italy	83.2
Jamaica	74.7
Japan	84.2
Jordan	79.3
Kazakhstan	72
Kenya	65.9
Kiribati	62.4
Kuwait	83.1
Kyrgyz Republic	72.7
Lao	67.6
Latvia	75.2
Lebanon	78
Lesotho	54.7
Liberia	64.4
Libya	73
Lithuania	75
Luxembourg	81.7
Madagascar	63.5
Malawi	63.2
Malaysia	74.7
Maldives	81.5
Mali	62
Malta	81
Marshall Islands	64.5
Mauritania	70.5
Mauritius	74.8
Mexico	75.5
Micronesia, Fed. Sts.	67.2
Moldova	72.9
Mongolia	68.9
Montenegro	76.5
Morocco	74
Mozambique	58.4
Myanmar	68.5
Namibia	66.5
Nepal	70.9
Netherlands	81.5
New Zealand	81.6
Nicaragua	78.8
Niger	62.4
Nigeria	64.3
North Korea	72
North Macedonia	76.5
Norway	82.3
Oman	77.1
Pakistan	66.8
Palestine	76.8
Panama	79.3
Papua New Guinea	58.5
Paraguay	76.1
Peru	80.3
Philippines	69.7
Poland	78
Portugal	81.4
Qatar	80.2
Romania	75.2
Russia	72.1
Rwanda	68.5
Samoa	72.9
Sao Tome and Principe	66.9
Saudi Arabia	76.9
Senegal	68
Serbia	75.7
Seychelles	73.6
Sierra Leone	60.4
Singapore	84.8
Slovak Republic	77.4
Slovenia	81.1
Solomon Islands	68.5
Somalia	58.5
South Africa	66.3
South Korea	82.6
South Sudan	59.3
Spain	83.1
Sri Lanka	77.5
St. Lucia	75.5
St. Vincent and the Grenadines	72.3
Sudan	70.3
Suriname	72
Sweden	82.5
Switzerland	84
Syria	69.8
Tajikistan	70.3
Tanzania	66.7
Thailand	78.1
Timor-Leste	70.8
Togo	64.4
Tonga	71.8
Trinidad and Tobago	74.2
Tunisia	78.3
Turkey	78.9
Turkmenistan	70.1
Uganda	65.7
Ukraine	70.5
United Arab Emirates	73.3
United Kingdom	81
United States	78.6
Uruguay	77
Uzbekistan	70.3
Vanuatu	64.7
Venezuela	75.3
Vietnam	74.5
Yemen	68.1
Zambia	63.2
Zimbabwe	61.4
