country	cholesterol_f
Afghanistan	4.24
Albania	4.88
Algeria	4.82
Andorra	5.46
Angola	4.53
Antigua and Barbuda	4.92
Argentina	5.07
Armenia	4.8
Australia	5.2
Austria	5.27
Azerbaijan	4.66
Bahamas	5.17
Bahrain	5.16
Bangladesh	4.36
Barbados	4.93
Belarus	5.07
Belgium	5.33
Belize	4.72
Benin	4.24
Bhutan	4.51
Bolivia	4.71
Bosnia and Herzegovina	4.75
Botswana	4.74
Brazil	4.87
Brunei	5.21
Bulgaria	5.04
Burkina Faso	4.07
Burundi	4.13
Cambodia	4.55
Cameroon	4.29
Canada	5.14
Cape Verde	4.34
Central African Republic	4.26
Chad	4.1
Chile	5
China	4.61
Colombia	4.87
Comoros	4.32
Congo, Dem. Rep.	4.01
Congo, Rep.	4.51
Costa Rica	4.9
Cote d'Ivoire	4.24
Croatia	5.03
Cuba	4.67
Cyprus	5.19
Czech Republic	5.13
Denmark	5.42
Djibouti	4.66
Dominica	4.88
Dominican Republic	4.68
Ecuador	4.82
Egypt	4.92
El Salvador	4.71
Equatorial Guinea	4.82
Eritrea	4.17
Estonia	5.23
Eswatini	4.55
Ethiopia	4.18
Fiji	5.03
Finland	5.34
France	5.33
Gabon	4.9
Gambia	4.23
Georgia	4.71
Germany	5.37
Ghana	4.17
Greece	4.93
Grenada	4.71
Guatemala	4.54
Guinea	4.16
Guinea-Bissau	4.06
Guyana	4.39
Haiti	4.36
Honduras	4.57
Hungary	5.17
Iceland	5.58
India	4.48
Indonesia	4.71
Iran	5.26
Iraq	4.89
Ireland	5.32
Israel	5.17
Italy	5.36
Jamaica	4.7
Japan	5.19
Jordan	5.03
Kazakhstan	4.93
Kenya	4.37
Kiribati	4.73
Kuwait	5.19
Kyrgyz Republic	4.51
Lao	4.54
Latvia	5.18
Lebanon	4.97
Lesotho	4.27
Liberia	4.05
Libya	4.69
Lithuania	5.15
Luxembourg	5.45
Madagascar	4.3
Malawi	4.36
Malaysia	5.12
Maldives	4.91
Mali	4.14
Malta	5.24
Marshall Islands	5.02
Mauritania	4.27
Mauritius	4.92
Mexico	5.15
Micronesia, Fed. Sts.	4.96
Moldova	4.67
Mongolia	4.71
Montenegro	5
Morocco	4.69
Mozambique	4.37
Myanmar	4.54
Namibia	4.6
Nauru	5.07
Nepal	4.27
Netherlands	5.28
New Zealand	5.19
Nicaragua	4.57
Niger	3.97
Nigeria	4.12
North Korea	4.41
North Macedonia	4.88
Norway	5.32
Oman	5.05
Pakistan	4.55
Palau	5.17
Palestine	4.65
Panama	4.93
Papua New Guinea	4.76
Paraguay	4.78
Peru	4.75
Philippines	4.93
Poland	5.15
Portugal	5.16
Qatar	5.25
Romania	4.9
Russia	5.09
Rwanda	4.29
Samoa	4.69
Sao Tome and Principe	4.17
Saudi Arabia	4.84
Senegal	4.24
Serbia	5.09
Seychelles	5.18
Sierra Leone	4.05
Singapore	5.3
Slovak Republic	5.09
Slovenia	5.2
Solomon Islands	4.67
Somalia	4.33
South Africa	4.71
South Korea	4.85
Spain	5.12
Sri Lanka	4.69
St. Kitts and Nevis	4.89
St. Lucia	4.8
St. Vincent and the Grenadines	4.78
Sudan	4.54
Suriname	4.75
Sweden	4.96
Switzerland	5.24
Syria	4.83
Tajikistan	4.32
Tanzania	4.32
Thailand	5.12
Timor-Leste	4.4
Togo	4.07
Tonga	4.91
Trinidad and Tobago	4.81
Tunisia	4.87
Turkey	4.8
Turkmenistan	4.64
Uganda	4.28
Ukraine	4.88
United Arab Emirates	5.28
United Kingdom	5.37
United States	5.15
Uruguay	4.79
Uzbekistan	4.41
Vanuatu	4.74
Venezuela	4.84
Vietnam	4.68
Yemen	4.58
Zambia	4.46
Zimbabwe	4.33
