country	TotHealthUSD_pp
Afghanistan	37.7
Albania	241
Algeria	178
Andorra	3100
Angola	123
Antigua and Barbuda	690
Argentina	742
Armenia	134
Australia	4780
Austria	4960
Azerbaijan	332
Bahamas	1740
Bahrain	864
Barbados	1000
Belarus	320
Belgium	4620
Belize	239
Benin	31
Bhutan	109
Bolivia	96.5
Bosnia and Herzegovina	499
Botswana	615
Brazil	990
Brunei	882
Bulgaria	435
Burkina Faso	39.8
Burundi	20.7
Cambodia	45.2
Cameroon	61.3
Canada	5220
Cape Verde	155
Central African Republic	18.2
Chad	30.6
Chile	947
China	221
Colombia	472
Comoros	33.2
Congo, Dem. Rep.	15.8
Congo, Rep.	72.3
Costa Rica	811
Cote d'Ivoire	59.8
Croatia	1070
Cuba	607
Cyprus	1710
Czech Republic	1480
Denmark	6420
Djibouti	91.7
Dominica	419
Dominican Republic	323
Ecuador	328
Egypt	123
El Salvador	237
Equatorial Guinea	896
Eritrea	11.9
Estonia	853
Eswatini	203
Ethiopia	15.7
Fiji	154
Finland	3980
France	4690
Gabon	302
Gambia	26.1
Georgia	272
Germany	4670
Ghana	67
Greece	2730
Grenada	439
Guatemala	197
Guinea	23
Guinea-Bissau	46.9
Guyana	159
Haiti	46.4
Honduras	NA
Hungary	942
Iceland	3720
India	54.3
Indonesia	76.9
Iran	317
Iraq	247
Ireland	4240
Israel	2180
Italy	3250
Jamaica	247
Japan	4070
Jordan	357
Kazakhstan	393
Kenya	36.9
Kiribati	160
Kuwait	1220
Kyrgyz Republic	53.5
Lao	46.2
Latvia	718
Lebanon	651
Lesotho	109
Liberia	29.2
Libya	484
Lithuania	781
Luxembourg	8180
Madagascar	15.9
Malawi	25.6
Malaysia	368
Maldives	383
Mali	31.7
Malta	1700
Marshall Islands	520
Mauritania	42.7
Mauritius	449
Mexico	NA
Micronesia, Fed. Sts.	366
Moldova	190
Monaco	6330
Mongolia	120
Montenegro	578
Morocco	148
Mozambique	21.3
Myanmar	17.1
Namibia	361
Nauru	713
Netherlands	5590
New Zealand	3280
Nicaragua	NA
Niger	18.3
Nigeria	62.8
North Macedonia	317
Norway	8090
Oman	574
Pakistan	21.8
Palau	850
Panama	616
Papua New Guinea	49.4
Paraguay	163
Peru	269
Philippines	77.3
Poland	917
Portugal	2370
Qatar	1490
Romania	428
Russia	525
Rwanda	55.5
Samoa	204
San Marino	3660
Sao Tome and Principe	90
Saudi Arabia	680
Senegal	58.5
Serbia	546
Seychelles	369
Sierra Leone	42.5
Singapore	1730
Slovak Republic	1410
Slovenia	2150
Solomon Islands	107
Somalia	NA
South Africa	649
South Korea	1440
Spain	2880
Sri Lanka	70
St. Kitts and Nevis	669
St. Lucia	465
St. Vincent and the Grenadines	278
Sudan	83.9
Suriname	492
Sweden	4710
Switzerland	7810
Syria	96.6
Tajikistan	49.1
Tanzania	30.9
Thailand	179
Timor-Leste	56.9
Togo	40.6
Tonga	172
Trinidad and Tobago	861
Tunisia	238
Turkey	678
Turkmenistan	106
Tuvalu	568
Uganda	46.7
Ukraine	234
United Arab Emirates	1450
United Kingdom	3500
United States	8360
Uruguay	998
Uzbekistan	82.4
Vanuatu	157
Venezuela	663
Vietnam	82.9
Yemen	63.2
Zambia	72.9
Zimbabwe	NA
