country	AlcConsump
Afghanistan	0.03
Albania	7.29
Algeria	0.69
Andorra	10.2
Angola	5.57
Antigua and Barbuda	8.17
Argentina	9.35
Armenia	13.7
Australia	10.2
Austria	12.4
Azerbaijan	13.3
Bahamas	8.65
Bahrain	4.19
Bangladesh	0.17
Barbados	6.42
Belarus	18.9
Belgium	10.4
Belize	5.92
Benin	2.08
Bhutan	0.54
Bolivia	5.78
Bosnia and Herzegovina	9.6
Botswana	6.97
Brazil	10.1
Brunei	1.86
Bulgaria	11.4
Burkina Faso	7.32
Burundi	9.65
Cambodia	4.71
Cameroon	7.9
Canada	10.2
Cape Verde	4.98
Central African Republic	3.17
Chad	4.39
Chile	8.81
China	5.56
Colombia	6.59
Comoros	0.28
Congo, Dem. Rep.	3.39
Costa Rica	5.81
Cote d'Ivoire	6.47
Croatia	15
Cuba	5.12
Cyprus	8.84
Czech Republic	16.5
Denmark	12
Djibouti	1.87
Dominica	8.68
Dominican Republic	6.28
Ecuador	9.43
Egypt	0.32
El Salvador	3.99
Equatorial Guinea	6.12
Eritrea	1.64
Estonia	17.2
Eswatini	5.05
Ethiopia	4.1
Fiji	2.76
Finland	13.1
France	12.5
Gabon	9.46
Gambia	3.58
Georgia	6.66
Germany	12.1
Ghana	3.11
Greece	11
Grenada	10.7
Guatemala	7.1
Guinea	0.79
Guinea-Bissau	3.9
Guyana	8.7
Haiti	5.92
Honduras	4.43
Hungary	16.1
Iceland	7.38
India	2.69
Indonesia	0.56
Iran	1.03
Iraq	0.47
Ireland	14.9
Israel	2.52
Italy	9.72
Jamaica	5.17
Japan	7.79
Jordan	0.65
Kazakhstan	11.1
Kenya	3.88
Kiribati	2.7
Kuwait	0.1
Kyrgyz Republic	4.72
Lao	6.99
Latvia	13.4
Lebanon	2.3
Lesotho	5.56
Liberia	5.07
Libya	0.1
Lithuania	16.3
Luxembourg	12.8
Madagascar	1.32
Malawi	1.44
Malaysia	0.87
Mali	0.99
Malta	4.1
Mauritania	0.11
Mauritius	3.53
Mexico	8.55
Micronesia, Fed. Sts.	5.25
Moldova	23
Mongolia	3.41
Morocco	1.24
Mozambique	2.27
Myanmar	0.58
Namibia	12.1
Nauru	4.81
Nepal	2.42
Netherlands	9.75
New Zealand	9.99
Nicaragua	5.21
Niger	0.34
Nigeria	12.7
North Korea	NA
North Macedonia	8.94
Norway	8.35
Oman	0.92
Pakistan	0.05
Palau	9.86
Panama	7.3
Papua New Guinea	3.64
Paraguay	7.91
Peru	6.53
Philippines	6.08
Poland	14.4
Portugal	13.9
Qatar	1.29
Romania	16.1
Russia	16.2
Rwanda	9.99
Samoa	4.51
Sao Tome and Principe	8.45
Saudi Arabia	0.34
Senegal	0.51
Serbia	12.2
Seychelles	12.1
Sierra Leone	9.48
Singapore	1.54
Slovak Republic	13.3
Slovenia	14.9
Solomon Islands	1.37
Somalia	0.5
South Africa	10.2
South Korea	19.1
Spain	11.8
Sri Lanka	0.81
St. Kitts and Nevis	10.6
St. Lucia	12.1
St. Vincent and the Grenadines	4.99
Sudan	2.56
Suriname	6.56
Sweden	9.5
Switzerland	11.4
Syria	1.49
Tajikistan	3.39
Tanzania	7.86
Thailand	7.08
Timor-Leste	0.74
Togo	1.92
Tonga	3.92
Trinidad and Tobago	6.16
Tunisia	1.05
Turkey	3.02
Turkmenistan	5
Tuvalu	2.14
Uganda	16.4
Ukraine	17.5
United Arab Emirates	0.52
United Kingdom	13.2
United States	9.7
Uruguay	8.99
Uzbekistan	3.61
Vanuatu	0.96
Venezuela	7.6
Vietnam	3.91
Yemen	0.2
Zambia	3.56
Zimbabwe	4.96
