Country	Cases
Afghanistan	59576
Albania	130977
Algeria	121866
Andorra	13198
Angola	26431
Antigua and Barbuda	1232
Argentina	2954943
Armenia	215528
Australia	124
Australia	5477
Australia	166
Australia	1559
Australia	722
Australia	234
Australia	20518
Australia	998
Austria	616739
Azerbaijan	317913
Bahamas	10349
Bahrain	175752
Bangladesh	756955
Barbados	3838
Belarus	357233
Belgium	986622
Belize	12646
Benin	7821
Bhutan	1066
Bolivia	301831
Bosnia and Herzegovina	197866
Botswana	46934
Brazil	14590678
Brunei	224
Bulgaria	403728
Burkina Faso	13309
Burma	142800
Burundi	3985
Cabo Verde	23554
Cambodia	12641
Cameroon	72250
Canada	188727
Canada	128742
Canada	0
Canada	13
Canada	38439
Canada	1900
Canada	1068
Canada	57
Canada	2360
Canada	490
Canada	468485
Canada	177
Canada	348732
Canada	13
Canada	40824
Canada	81
Central African Republic	6411
Chad	4810
Chile	1190991
China	994
China	1057
China	596
China	591
China	193
China	2337
China	270
China	147
China	188
China	1317
China	1610
China	1312
China	11770
China	68158
China	1044
China	380
China	719
China	937
China	573
China	408
China	49
China	75
China	18
China	590
China	876
China	1984
China	251
China	979
China	385
China	1
China	0
China	980
China	342
China	1343
Colombia	2841934
Comoros	3834
Congo (Brazzaville)	10678
Congo (Kinshasa)	29812
Costa Rica	248382
Cote d'Ivoire	45998
Croatia	330176
Cuba	105661
Cyprus	65233
Czechia	1628536
Denmark	663
Denmark	31
Denmark	250554
Diamond Princess	712
Djibouti	11026
Dominica	174
Dominican Republic	266214
Ecuador	380689
Egypt	226531
El Salvador	69198
Equatorial Guinea	7694
Eritrea	3671
Estonia	121657
Eswatini	18458
Ethiopia	256418
Fiji	116
Finland	86613
France	19099
France	18755
France	13770
France	10491
France	20055
France	124
France	20381
France	974
France	25
France	1745
France	444
France	5547670
Gabon	22818
Gambia	5887
Georgia	308834
Germany	3391039
Ghana	92562
Greece	342908
Grenada	160
Guatemala	226247
Guinea	22215
Guinea-Bissau	3733
Guyana	13106
Haiti	13017
Holy See	27
Honduras	211076
Hungary	776983
Iceland	6466
India	18762976
Indonesia	1662868
Iran	2479805
Iraq	1058794
Ireland	248326
Israel	838407
Italy	4009208
Jamaica	45414
Japan	588580
Jordan	709817
Kazakhstan	372662
Kenya	158821
Korea, South	122007
Kosovo	103638
Kuwait	272562
Kyrgyzstan	94944
Laos	672
Latvia	117795
Lebanon	525577
Lesotho	10731
Liberia	2099
Libya	177072
Liechtenstein	2921
Lithuania	245896
Luxembourg	67045
MS Zaandam	9
Madagascar	36696
Malawi	34062
Malaysia	404925
Maldives	29370
Mali	13815
Malta	30276
Marshall Islands	4
Mauritania	18377
Mauritius	1208
Mexico	2340934
Micronesia	1
Moldova	250508
Monaco	2452
Mongolia	35979
Montenegro	97257
Morocco	510886
Mozambique	69864
Namibia	48177
Nepal	317530
Netherlands	10608
Netherlands	1556
Netherlands	12181
Netherlands	2226
Netherlands	1488594
New Zealand	2613
Nicaragua	6898
Niger	5226
Nigeria	165055
North Macedonia	152002
Norway	112541
Oman	193253
Pakistan	820823
Panama	364218
Papua New Guinea	10997
Paraguay	276865
Peru	1783339
Philippines	1028738
Poland	2785353
Portugal	836033
Qatar	204976
Romania	1053629
Russia	4742142
Rwanda	24995
Saint Kitts and Nevis	44
Saint Lucia	4534
Saint Vincent and the Grenadines	1855
Samoa	3
San Marino	5060
Sao Tome and Principe	2301
Saudi Arabia	416307
Senegal	40295
Serbia	687944
Seychelles	5559
Sierra Leone	4053
Singapore	61121
Slovakia	381744
Slovenia	239339
Solomon Islands	20
Somalia	13915
South Africa	1579536
South Sudan	10567
Spain	3514942
Sri Lanka	106484
Sudan	33944
Suriname	10286
Sweden	967678
Switzerland	658143
Syria	22631
Taiwan*	1121
Tajikistan	13308
Tanzania	509
Thailand	63570
Timor-Leste	2190
Togo	12931
Trinidad and Tobago	10498
Tunisia	307215
Turkey	4788700
US	32289049
Uganda	41797
Ukraine	2113880
United Arab Emirates	518262
United Kingdom	91
United Kingdom	2382
United Kingdom	194
United Kingdom	542
United Kingdom	4055
United Kingdom	63
United Kingdom	4283
United Kingdom	1587
United Kingdom	20
United Kingdom	4
United Kingdom	2386
United Kingdom	4414242
Uruguay	195734
Uzbekistan	90406
Vanuatu	4
Venezuela	196386
Vietnam	2910
West Bank and Gaza	295601
Yemen	6294
Zambia	91533
Zimbabwe	38235
