y_names	term	estimate	std.error	conf.low	conf.high
PositiveRate	(Intercept)	-0.9523402403472462	0.6494293016251264	-2.2449969302965846	0.3403164496020922
PositiveRate	continentAmericas	0.11490264218231343	0.04223140888299726	0.03084312549283702	0.19896215887178983
PositiveRate	continentAsia	-0.0067571386691169175	0.04121395527239852	-0.08879146460547768	0.07527718726724383
PositiveRate	continentEurope	0.030414695782895518	0.048068711395456605	-0.06526368091968246	0.1260930724854735
PositiveRate	continentOceania	-0.018228474739970274	0.06017324787167654	-0.1380003286163785	0.10154337913643795
PositiveRate	UrbanPop	0.11218409024514144	0.06710294368050508	-0.021380978110780366	0.24574915860106322
PositiveRate	LifeExp	0.006906953197952818	0.0031591412471162366	6.188398384836345e-4	0.013195066557422001
PositiveRate	Smoking	-0.09573406322272698	0.11090040171401706	-0.316475791128998	0.12500766468354402
PositiveRate	AlcConsump	-6.58970433852134e-5	0.002149637131255975	-0.00434464272321216	0.0042128486364417335
PositiveRate	SBP_m	-0.008652072138828721	0.0049563497208292675	-0.018517439482627376	0.001213295204969933
PositiveRate	SBP_f	0.012113742794885383	0.005377098794605561	0.0014108953687345712	0.022816590221036194
PositiveRate	cholesterol_m	0.06651517370707194	0.09984885590427486	-0.1322290025188298	0.2652593499329737
PositiveRate	cholesterol_f	0.004360349676396457	0.11887119946340957	-0.23224685428585468	0.24096755363864758
PositiveRate	BMI_m	-0.0014776329972040496	0.011729070844045906	-0.024823764524539296	0.0218684985301312
PositiveRate	BMI_f	-0.0022833552855276887	0.00963858789113904	-0.021468484579766967	0.01690177400871159
PositiveRate	GovtHealthUSD_pp	-1.4314222122424619e-5	2.7578964565505877e-5	-6.920877793976506e-5	4.058033369491582e-5
PositiveRate	TotHealthUSD_pp	-3.060625749857555e-7	2.03015166418525e-5	-4.071522064275152e-5	4.010309549278001e-5
PositiveRate	DemScore	0.003114177026480302	0.0017128515372757448	-2.951686759832032e-4	0.006523522728943807
PositiveRate	CPI	-0.0021969154280498215	8.127643470935285e-4	-0.0038146823935896884	-5.791484625099544e-4
PositiveRate	WomanInParlia	0.11866772880444004	0.07441768662884275	-0.029456971190779863	0.2667924287996599
PositiveRate	Income_pp	5.758102916608824e-9	7.725801347049864e-7	-1.5320241886265526e-6	1.54354039445977e-6
PositiveRate	BasicSaniAcc	-0.12417195072258874	0.08711286727583906	-0.2975657757055319	0.049221874260354376
PositiveRate	PopDens	-8.407462926410968e-6	1.1252896734763114e-5	-3.080579359781814e-5	1.39908677449962e-5
